number,available_bikes,available_bike_stands,last_update
4,15,5,"2025-02-22 18:27:39"
4,14,6,"2025-02-22 18:40:21"
4,14,6,"2025-02-22 18:47:51"
4,13,7,"2025-02-22 19:08:04"
4,14,6,"2025-02-22 19:28:14"
4,14,6,"2025-02-22 19:38:19"
4,14,6,"2025-02-22 19:58:30"
5,3,37,"2025-02-18 10:36:39"
5,15,25,"2025-02-18 10:57:30"
5,15,25,"2025-02-18 11:16:34"
5,10,29,"2025-02-18 12:27:36"
5,13,26,"2025-02-18 13:01:13"
5,12,28,"2025-02-18 13:21:45"
5,9,31,"2025-02-18 13:30:46"
5,37,3,"2025-02-18 19:32:10"
5,38,2,"2025-02-18 19:43:14"
5,12,28,"2025-02-22 07:56:48"
5,10,30,"2025-02-22 08:03:55"
5,10,30,"2025-02-22 08:11:39"
5,12,28,"2025-02-22 09:01:58"
5,13,27,"2025-02-22 09:12:01"
5,12,28,"2025-02-22 09:23:41"
5,6,34,"2025-02-22 09:44:18"
5,7,33,"2025-02-22 09:56:24"
5,1,39,"2025-02-22 10:24:48"
5,15,25,"2025-02-22 10:45:21"
5,16,24,"2025-02-22 10:53:00"
5,11,29,"2025-02-22 11:08:45"
5,9,31,"2025-02-22 11:28:57"
5,8,32,"2025-02-22 11:39:15"
5,6,34,"2025-02-22 12:01:23"
5,6,34,"2025-02-22 12:03:40"
5,3,37,"2025-02-22 12:19:35"
5,1,39,"2025-02-22 12:34:00"
5,1,39,"2025-02-22 12:54:04"
5,11,29,"2025-02-22 13:20:30"
5,16,24,"2025-02-22 13:37:00"
5,18,22,"2025-02-22 13:52:27"
5,17,23,"2025-02-22 13:54:47"
5,19,21,"2025-02-22 14:16:16"
5,24,16,"2025-02-22 14:45:16"
5,22,18,"2025-02-22 14:55:21"
5,22,18,"2025-02-22 15:05:25"
5,19,21,"2025-02-22 15:15:31"
5,18,22,"2025-02-22 15:25:36"
5,16,24,"2025-02-22 15:48:06"
5,16,24,"2025-02-22 16:02:48"
